               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093706,           0.0064771,           0.0010219,             0.62612,             0.51684,             0.50306,             0.25765,            0.056061,           0.0082411,          0.00010686,          0.00014998,          0.00014998,            0.025152
                   0,             0.12037,           0.0065366,           0.0015793,             0.64382,             0.47111,             0.49929,             0.25131,            0.058209,           0.0084315,           0.0003593,          0.00014997,          0.00014997,            0.025155
                   1,             0.08203,           0.0068474,           0.0011413,             0.57974,             0.51206,             0.46603,             0.22726,            0.045781,           0.0084857,           0.0004884,          0.00029987,          0.00029987,          0.00030488
                   2,              0.0618,           0.0067393,          0.00080902,             0.61738,             0.49061,             0.49757,              0.2571,            0.044723,           0.0088599,          0.00016834,          0.00029959,          0.00029959,          0.00029959
                   3,            0.057746,           0.0064998,           0.0006803,             0.59398,             0.49758,              0.5071,             0.26681,            0.044538,           0.0092631,          0.00014274,          0.00029959,          0.00029959,          0.00029959
                   4,            0.055559,           0.0064276,          0.00056347,             0.66597,             0.50633,              0.5298,              0.2429,             0.04394,           0.0090053,          0.00033366,          0.00029909,          0.00029909,          0.00029909
                   5,            0.054722,            0.006327,          0.00053922,              0.6671,             0.49534,             0.52589,             0.25324,            0.043428,           0.0090993,          0.00012104,          0.00029837,          0.00029837,          0.00029837
                   6,            0.053246,           0.0062299,          0.00047559,              0.7066,             0.45658,             0.51562,             0.26466,            0.043618,           0.0092225,          0.00016658,          0.00029746,          0.00029746,          0.00029746
                   7,            0.052198,           0.0062154,          0.00035171,             0.57431,              0.5186,             0.49845,              0.2565,            0.044036,           0.0093989,          0.00013897,          0.00029635,          0.00029635,          0.00029635
                   8,            0.051328,           0.0061561,          0.00024194,             0.59384,              0.4874,             0.48475,             0.24055,            0.044247,           0.0095862,            0.000208,          0.00029504,          0.00029504,          0.00029504
                   9,            0.050795,           0.0060775,          0.00021869,             0.69451,              0.5114,             0.53404,             0.27053,            0.044006,           0.0094482,          0.00013567,          0.00029354,          0.00029354,          0.00029354
                  10,            0.050668,           0.0060489,          0.00019226,             0.70797,             0.49141,             0.52316,             0.27436,            0.043575,           0.0095107,          0.00013583,          0.00029184,          0.00029184,          0.00029184
                  11,            0.050214,           0.0060133,           0.0002034,             0.69953,             0.51644,             0.53599,             0.27609,            0.043585,           0.0095497,          5.1507e-05,          0.00028995,          0.00028995,          0.00028995
                  12,            0.049477,           0.0059702,          0.00017769,             0.73388,             0.47717,             0.52767,             0.26723,            0.043675,           0.0097003,          7.9881e-05,          0.00028787,          0.00028787,          0.00028787
                  13,            0.048919,           0.0058819,          0.00015686,              0.6683,             0.46724,             0.51093,             0.26094,            0.043662,           0.0096856,          6.4554e-05,          0.00028561,          0.00028561,          0.00028561
                  14,            0.048492,           0.0058445,           0.0001624,             0.66654,             0.50095,             0.52999,             0.27417,            0.043287,            0.009743,          5.5088e-05,          0.00028317,          0.00028317,          0.00028317
                  15,            0.048018,            0.005828,          0.00015524,              0.6612,              0.5202,             0.53841,             0.27478,            0.043893,           0.0099166,          7.8024e-05,          0.00028055,          0.00028055,          0.00028055
                  16,            0.047686,           0.0057357,          0.00014338,             0.64947,             0.50997,             0.52791,             0.25592,            0.043273,           0.0098241,           8.702e-05,          0.00027775,          0.00027775,          0.00027775
                  17,            0.047101,           0.0057214,          0.00013429,             0.66833,             0.51086,             0.53947,             0.27591,             0.04355,           0.0098426,          4.3218e-05,          0.00027479,          0.00027479,          0.00027479
                  18,            0.047474,           0.0057936,          0.00014661,             0.71072,              0.4711,             0.52449,             0.27429,            0.043493,           0.0099926,          6.7477e-05,          0.00027166,          0.00027166,          0.00027166
                  19,            0.047237,           0.0057261,          0.00013085,             0.63579,             0.51293,             0.53517,             0.28193,            0.043243,            0.010135,          5.3453e-05,          0.00026837,          0.00026837,          0.00026837
                  20,            0.046497,           0.0056438,          0.00013172,             0.66674,             0.51813,              0.5458,             0.27859,            0.043673,            0.010122,          4.1718e-05,          0.00026493,          0.00026493,          0.00026493
                  21,            0.046021,           0.0055679,           0.0001192,              0.6867,             0.50398,             0.53529,             0.27791,            0.043716,            0.010272,          5.5047e-05,          0.00026134,          0.00026134,          0.00026134
                  22,            0.045922,           0.0055285,          0.00011908,             0.68716,             0.50051,             0.53195,             0.27041,            0.043669,            0.010175,          8.7279e-05,           0.0002576,           0.0002576,           0.0002576
                  23,            0.046122,           0.0056671,          0.00014329,             0.66173,             0.52071,              0.5383,             0.27567,            0.043452,            0.010102,          0.00010048,          0.00025373,          0.00025373,          0.00025373
                  24,            0.045534,           0.0055261,          0.00011726,             0.69549,             0.49578,             0.52838,             0.27818,            0.043598,             0.01032,          0.00010391,          0.00024972,          0.00024972,          0.00024972
                  25,            0.045466,           0.0055071,          0.00012164,             0.69163,             0.51135,             0.54135,             0.28075,            0.043724,             0.01022,          6.2871e-05,          0.00024559,          0.00024559,          0.00024559
                  26,            0.044865,           0.0055222,          0.00010434,              0.6464,             0.53676,             0.54069,             0.27169,            0.043907,            0.010247,          6.4793e-05,          0.00024134,          0.00024134,          0.00024134
                  27,            0.044553,           0.0054911,           9.791e-05,             0.68216,             0.52666,             0.54856,             0.28185,            0.043629,            0.010344,          6.3576e-05,          0.00023697,          0.00023697,          0.00023697
                  28,            0.044544,           0.0054556,          0.00010331,             0.65839,             0.52223,             0.54174,             0.27539,            0.043727,            0.010288,          0.00011985,           0.0002325,           0.0002325,           0.0002325
                  29,            0.044201,           0.0054494,           9.456e-05,             0.68054,             0.53323,             0.54969,              0.2845,            0.043512,            0.010391,          6.2162e-05,          0.00022793,          0.00022793,          0.00022793
                  30,            0.044262,           0.0054344,          9.4459e-05,             0.65542,             0.53639,             0.54243,             0.28432,            0.043612,            0.010392,          6.2892e-05,          0.00022326,          0.00022326,          0.00022326
                  31,            0.043728,           0.0053734,          9.1677e-05,             0.68729,             0.52857,             0.54585,             0.28301,            0.043594,            0.010402,          7.7733e-05,          0.00021851,          0.00021851,          0.00021851
                  32,            0.043473,           0.0054058,          8.3823e-05,             0.70816,             0.52189,             0.54954,             0.27886,            0.043623,            0.010525,          6.9238e-05,          0.00021369,          0.00021369,          0.00021369
                  33,             0.04309,           0.0053175,          8.2488e-05,             0.70688,             0.53218,             0.55211,             0.28405,            0.043512,            0.010548,          6.5775e-05,          0.00020879,          0.00020879,          0.00020879
                  34,            0.043074,           0.0053307,          8.7877e-05,             0.69637,              0.5323,             0.54991,             0.28327,            0.043558,            0.010503,          6.4318e-05,          0.00020383,          0.00020383,          0.00020383
                  35,            0.043054,           0.0053476,          8.7548e-05,             0.70735,             0.52802,             0.55204,             0.28405,            0.043589,            0.010461,          5.7927e-05,          0.00019881,          0.00019881,          0.00019881
                  36,            0.043106,           0.0053107,          8.9876e-05,             0.70294,              0.5305,             0.55201,             0.28305,            0.043668,            0.010425,           5.793e-05,          0.00019375,          0.00019375,          0.00019375
                  37,            0.042393,           0.0052775,           7.291e-05,             0.67577,             0.54059,             0.55081,             0.28237,            0.043635,            0.010465,          6.2601e-05,          0.00018865,          0.00018865,          0.00018865
                  38,            0.042196,           0.0052081,          7.8488e-05,             0.68816,             0.53218,             0.54949,             0.28046,            0.043679,            0.010487,          6.2271e-05,          0.00018351,          0.00018351,          0.00018351
                  39,            0.042314,           0.0052392,          6.8449e-05,             0.67753,             0.54026,             0.55418,             0.28169,            0.043686,            0.010584,          6.0862e-05,          0.00017836,          0.00017836,          0.00017836
                  40,            0.042008,           0.0052107,          7.5537e-05,             0.70137,             0.53556,             0.55741,             0.28393,            0.043768,            0.010613,          6.1673e-05,          0.00017318,          0.00017318,          0.00017318
